user_id,problem_id,perdict_wrong_knowledge,true_wrong_knowledge,is_right
6,11,"['Trigonometric_function', 'Logarithm_versus_exponential', 'Plane_vector', 'Image_of_function', 'Spatial_imagination']",Image_of_function,True
6,12,"['Trigonometric_function', 'Calculation']",Calculation,True
6,14,"['Inequality', 'Plane_vector', 'Image_of_function', 'Image_of_function', 'Abstract_summarization', 'Reasoning_and_demonstration']",Image_of_function,True
7,1,"['Trigonometric_function', 'Plane_vector', 'Image_of_function', 'Spatial_imagination']",Set,False
7,4,"['Logarithm_versus_exponential', 'Image_of_function', 'Spatial_imagination']",Calculation,False
7,5,"['Plane_vector', 'Image_of_function', 'Image_of_function', 'Spatial_imagination', 'Reasoning_and_demonstration', 'Calculation']",Reasoning_and_demonstration,True
7,6,"['Inequality', 'Property_of_function', 'Abstract_summarization']",Calculation,False
7,8,"['Trigonometric_function', 'Image_of_function', 'Spatial_imagination']",Set,False
7,9,"['Inequality', 'Trigonometric_function', 'Logarithm_versus_exponential', 'Image_of_function', 'Image_of_function', 'Spatial_imagination', 'Reasoning_and_demonstration', 'Calculation']",Set,False
7,10,"['Logarithm_versus_exponential', 'Calculation']",Set,False
7,11,"['Plane_vector', 'Image_of_function', 'Spatial_imagination']",Calculation,False
7,12,"['Trigonometric_function', 'Calculation']",Set,False
7,13,"['Image_of_function', 'Image_of_function', 'Spatial_imagination', 'Reasoning_and_demonstration']",Reasoning_and_demonstration,True
7,14,"['Inequality', 'Trigonometric_function', 'Image_of_function', 'Image_of_function', 'Spatial_imagination', 'Reasoning_and_demonstration', 'Calculation']",Reasoning_and_demonstration,True
8,8,"['Trigonometric_function', 'Image_of_function', 'Spatial_imagination']",Calculation,False
8,9,"['Inequality', 'Trigonometric_function', 'Logarithm_versus_exponential', 'Plane_vector', 'Image_of_function', 'Image_of_function', 'Spatial_imagination', 'Abstract_summarization', 'Reasoning_and_demonstration']",Calculation,False
8,10,"['Logarithm_versus_exponential', 'Calculation']",Calculation,True
8,12,"['Trigonometric_function', 'Calculation']",Calculation,True
8,13,"['Image_of_function', 'Image_of_function', 'Spatial_imagination', 'Reasoning_and_demonstration']",Calculation,False
8,14,"['Plane_vector', 'Image_of_function', 'Image_of_function', 'Spatial_imagination', 'Reasoning_and_demonstration', 'Calculation', 'Calculation']",Calculation,True
9,2,"['Trigonometric_function', 'Calculation']",Trigonometric_function,True
9,8,"['Trigonometric_function', 'Spatial_imagination', 'Calculation']",Trigonometric_function,True
9,9,"['Inequality', 'Trigonometric_function', 'Logarithm_versus_exponential', 'Image_of_function', 'Reasoning_and_demonstration', 'Calculation', 'Calculation']",Logarithm_versus_exponential,True
9,10,['Logarithm_versus_exponential'],Logarithm_versus_exponential,True
9,12,['Trigonometric_function'],Trigonometric_function,True
9,13,"['Image_of_function', 'Image_of_function', 'Spatial_imagination', 'Reasoning_and_demonstration']",Plane_vector,False
9,14,"['Inequality', 'Trigonometric_function', 'Logarithm_versus_exponential', 'Plane_vector', 'Image_of_function', 'Reasoning_and_demonstration']",Logarithm_versus_exponential,True
10,12,"['Trigonometric_function', 'Calculation']",Set,False
10,14,"['Inequality', 'Plane_vector', 'Image_of_function', 'Image_of_function', 'Spatial_imagination', 'Reasoning_and_demonstration']",Abstract_summarization,False
11,0,"['Set', 'Inequality', 'Image_of_function', 'Image_of_function', 'Reasoning_and_demonstration']",Calculation,False
11,1,"['Trigonometric_function', 'Plane_vector', 'Image_of_function', 'Spatial_imagination']",Trigonometric_function,True
11,2,"['Trigonometric_function', 'Calculation']",Trigonometric_function,True
11,4,"['Inequality', 'Trigonometric_function', 'Logarithm_versus_exponential', 'Plane_vector', 'Spatial_imagination', 'Calculation']",Trigonometric_function,True
11,7,"['Image_of_function', 'Image_of_function', 'Spatial_imagination', 'Reasoning_and_demonstration']",Calculation,False
11,8,"['Trigonometric_function', 'Spatial_imagination', 'Calculation']",Trigonometric_function,True
11,9,"['Inequality', 'Trigonometric_function', 'Logarithm_versus_exponential', 'Plane_vector', 'Image_of_function', 'Image_of_function', 'Reasoning_and_demonstration', 'Calculation']",Trigonometric_function,True
11,10,"['Logarithm_versus_exponential', 'Calculation']",Logarithm_versus_exponential,True
user_id,problem_id,perdict_wrong_knowledge,true_wrong_knowledge,is_right
user_id,problem_id,perdict_wrong_knowledge,true_wrong_knowledge,is_right
0,14,"['Logarithm_versus_exponential', 'Plane_vector', 'Image_of_function', 'Image_of_function', 'Spatial_imagination', 'Reasoning_and_demonstration']",Reasoning_and_demonstration,True
user_id,problem_id,perdict_wrong_knowledge,true_wrong_knowledge,is_right
